"index","id","roblox_assetid","roblox_rap","roblox_value","robux_volume_30d_total","popularity_position","is_valued","is_rare","is_projected","roblox_name","roblox_acronym","roblox_lowestprice","price_updated_at","went_limited_at"
127,112,135470997,469375,480000,0,1276,true,true,false,"Dr. Ishmael","Ish",725000,2023-08-05 20:51:48.253,2013-11-16 06:00:00.000
128,42,161211371,166551,470000,0,1749,true,true,false,"Chrononoctis : The Ominous Helm","Noctis",0,2023-08-05 03:20:34.494,2014-06-13 17:34:29.240
129,190,31046644,47868,470000,0,838,true,true,false,"Crown of the Undead Hoard","CotUH",1339987,2023-07-29 15:57:47.119,2010-07-20 00:30:04.130
130,192,102617707,60828,470000,0,612,true,true,false,"Scytheface: The Sharpest One","Scythe",1850000,2023-08-05 19:07:24.284,2013-01-03 21:27:55.153
131,44,13793866,95617,460000,0,214,true,true,false,"Mighty Mask of Zeus","MMoZ",1745000,2023-07-21 18:28:45.242,2015-01-31 06:00:00.000
132,12,15731113,66184,460000,0,2154,true,true,false,"Admiral of the Royal Skyfleet","Skyfleet",30000000,2023-06-30 18:55:08.665,2011-05-01 05:00:00.000
133,178,383605854,383507,440000,0,1879,true,true,false,"Pastel Rainbow Shaggy","PRS",890000,2023-08-01 17:38:27.587,2016-03-17 22:19:48.627
134,172,228449574,383991,440000,0,1361,true,true,false,"CW Ultimate: Rose Quartz Rebellion","RQR",798000,2023-08-07 07:48:13.339,2015-08-05 05:00:00.000
135,15707,1180419690,419383,430000,380000,2248,true,false,false,"Disgraced Baroness of the Federation","Baroness",568000,2023-08-05 20:37:47.861,2017-11-16 23:14:56.527
136,35,23301681,272550,430000,0,2326,true,true,false,"Moon Seeing Stars","MSS",9.9999999999999e+13,2023-08-07 06:50:29.669,2010-07-05 05:00:00.000
137,165,209994352,424177,420000,0,1870,true,true,false,"Eyes of Emeraldwrath","EoE",799999,2023-08-06 20:13:07.959,2015-01-30 21:57:31.683
138,6149,2566024668,273404,420000,0,1372,true,true,false,"WC Ultimates - Garnet Gratitude","Garnet",500000,2023-07-09 20:20:31.231,2018-11-13 11:24:35.603
139,205,286524947,130175,420000,0,1859,true,true,false,"CW Ultimate: Wulfinite Will","Wulf",750000,2023-07-30 18:06:48.868,2016-05-31 05:00:00.000
140,179,26019070,474395,410000,1963888,859,true,false,false,"Yum!","Yum",569999,2023-08-06 08:09:47.643,2010-04-23 00:23:17.723
141,109,416828455,368215,410000,0,2071,true,true,false,"Immortal Sword: The Piece Maker","PM",1999998,2023-08-07 06:50:31.101,2016-05-20 00:07:26.083
142,175,81154592,265899,400000,0,1613,true,true,false,"Firebrand","FB",650000,2023-07-23 00:43:17.982,2012-05-19 00:47:37.637
143,79,23727705,136693,400000,0,747,true,true,false,"Spec Epsilon Biograft Energy Sword","Spec Epsilon",2000000,2023-08-05 16:52:47.404,2010-03-13 00:21:17.677
